"campaning_SD","send_name","cell_package_sk","communication_SK","response","sale_amount","group_size","arppu","отклик","отклик_контр_гр","дельта отклика"
camp_3581,"23_06_2023_win_prize_A",118512,808600,1648,478140,2005,290,0.822,0.815,0.007
camp_3581,"23_06_2023_win_prize_CTR_A",118513,808600,428,131930,525,308,0.815,0,0.815
camp_3581,"23_06_2023_win_prize_B",118514,959200,2399,677275,2968,282,0.808,0.798,0.010
camp_3581,"23_06_2023_win_prize_CTR_B",118515,959200,810,230485,1015,284,0.798,0,0.798
camp_35367,"28_06_2023_sale_5%",118516,335700,5556,1481655,7081,266,0.785,0.739,0.046
camp_35367,"28_06_2023_sale_5%_CTR",118517,335700,748,175820,1012,235,0.739,0,0.739
camp_3512,"03_07_2013_special_offer",118518,450725,1117,254355,1683,227,0.664,0.388,0.276
camp_3512,"03_07_2013_special_offer_CTR",118519,450725,144,24215,371,168,0.388,0,0.388
